problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
LIRCMOP5_BC,1,ref_only,10000,10013,47,122,1,0.41,122,0,0.00368276029559595,0.00862465774113793,122,30,2,0.00642951251646904,10.4918032786885,0.342389883357807,0.405826422561391,0,0.747525582077732,0.245901639344262,0.424780613611193,1.11980526725755,zero,26,4,30,30,0.245901639344262,0.0128704899700156,0.0178854754397732,0,0.021078916021462,NaN,0.4,-0.031942536208795,0.634146341463415,0.0160110402875614,0.0214737944834123,0.0212240807705743,0.0220749029851706,1,400,100,600,600,455,145,255,57,84,48,3149,0,142,142,142,142,122,122,122,122,122,0,30
LIRCMOP5_BC,1,ref_only,30000,30023,134,51,1,0.17,51,0,0.001616804246753,0.00830487230486743,51,30,2,0.00268774703557312,25.0980392156863,0.301029222166032,0.463717098474684,0,1,0.176470588235294,0.36305203851119,0.609088604931913,zero,15,15,30,6,0.588235294117647,0.0042007408706201,0.00781963583154848,0,0.00885727753513686,NaN,0.7,0.0540420374270641,0.411764705882353,0.00807889457856174,0.00971024450483459,0.00853438076637245,0.0105502020255202,0.2,400,33,466,466,381,85,172,52,33,18,2397,0,54,54,54,54,51,51,51,51,51,0,30
LIRCMOP5_BC,1,ref_only,50000,50033,221,141,1,0.47,141,0,0.00367621253027705,0.00828456745744332,141,30,2,0.00743083003952569,9.07801418439716,0.432554201032728,0.761957112049435,0,0.817951482456263,0.106382978723404,0.63336907795715,0.922656460585136,zero,28,2,30,2,0.212765957446809,0.00837109303431351,0.0267967585481375,0,0.0271961019177226,NaN,0.633333333333333,0.0177389110735053,0.0425531914893617,0.0109610743281487,0.0277938627188935,0.0274028878182494,0.0277938627188935,0.0666666666666667,400,147,694,694,394,300,248,56,100,56,8207,99,162,162,162,162,141,141,141,141,141,0,30
LIRCMOP5_BC,1,ref_only,70000,70043,308,60,1,0.2,60,0,0.00885591501029948,0.0214618284362824,60,30,2,0.00316205533596838,21.3333333333333,0.151547899714405,0.215935357318712,0.186857234467355,0.434872930339209,0.5,1.28848467822357,5.20358310747528,zero,30,0,30,1,0.5,0.00421750143348372,0.00809749665342965,0,0.0248855387634678,NaN,0.966666666666667,0.104031202585212,0.1,0.00726291045671716,0.0250961223082499,0.0250961223082499,NaN,0.0333333333333333,400,59,518,518,311,207,230,45,100,45,4595,1211,100,100,100,85,60,60,60,60,60,0,30
LIRCMOP5_BC,1,ref_only,100000,100173,439,64,1,0.22,64,0,0.00961618413965673,0.0502426678629757,64,30,2,0.00337285902503294,20,0.116862911557591,0.214963957326728,0.300719985858666,0.946733356037595,0.6875,0.121078727693951,0.127726143645667,zero,30,0,30,5,0.46875,0.00608043566071817,0.0100292797278151,0,0.0264251027844774,NaN,0.333333333333333,-0.028810074111437,0.136363636363636,0.00992500633826639,0.0307311173585922,0.0307311173585922,NaN,0.166666666666667,400,60,520,520,330,190,244,74,100,74,4498,1931,96,96,96,88,64,64,64,64,64,0,30
LIRCMOP6_BC,1,ref_only,10000,10197,49,64,1,0.22,64,0,0.0046693248929058,0.0121826296965073,64,30,2,0.00337285902503294,20,0.331949128046873,0.386992205524718,0,0.749578984609622,0.234375,0.781848682814216,3.71771615188632,zero,20,10,30,30,0.46875,0.0429894525157869,0.0453125750934595,0,0.0560788073172021,NaN,0.666666666666667,0.00561606108504831,0.772727272727273,0.0472685630482132,0.0567010667488938,0.0567010667488938,0.0550861715019244,1,400,51,502,502,437,65,212,48,49,23,1318,0,67,67,67,67,64,64,64,64,64,0,30
LIRCMOP6_BC,1,ref_only,30000,30207,136,149,1,0.5,149,0,0.00131562045380919,0.00297186333682277,149,30,2,0.00785243741765481,8.59060402684564,0.231175954251396,0.356606757172586,0,1,0.214765100671141,0.299061016609771,0.409876324147588,zero,30,0,30,7,0.201342281879195,0.00441141865792842,0.00582878174057167,0,0.00582878174057167,NaN,0.433333333333333,-0.0103185210881332,0.14,0.00494571543491937,0.00645228798599887,0.00645228798599887,NaN,0.233333333333333,400,150,700,700,493,207,323,70,88,58,5063,0,173,173,173,169,149,149,149,149,149,0,30
LIRCMOP6_BC,1,ref_only,50000,50217,223,189,1,0.63,189,0,0.00148770947258502,0.00404086451030738,189,30,2,0.0099604743083004,6.77248677248677,0.344020688358197,0.579771150438292,0,1,0.0793650793650794,0.531558645112651,0.507688220851048,zero,13,17,30,0,0.158730158730159,0.00690199192187328,0.00829759457952302,0,0.0103622236961242,NaN,0.566666666666667,0.0134123520349479,0,0.00858224507358951,0.0103622236961242,0.0115930423206561,0.0102979096358279,0,400,198,796,796,454,342,358,78,85,68,11440,0,204,204,204,204,189,189,189,189,189,0,30
LIRCMOP6_BC,1,ref_only,70000,70227,310,186,1,0.62,186,0,0.00112175803170794,0.00435709713526079,186,30,2,0.00980237154150198,6.88172043010753,0.378077059337188,0.957756284149348,0,1,0.198924731182796,0.595127896259364,1.87209957470079,zero,27,3,30,19,0.161290322580645,0.019749214933862,0.030223991339517,0,0.0332647996086137,NaN,0.5,0.00109510486303124,0.17741935483871,0.0289512961436776,0.0350285905242179,0.0353023924100142,0.0336825543297904,0.633333333333333,400,168,736,736,427,309,312,73,94,67,8867,0,201,201,201,201,186,186,186,186,186,0,30
LIRCMOP6_BC,1,ref_only,100000,100127,440,69,1,0.23,69,0,0.0038201856781756,0.0108727306875454,69,30,2,0.00363636363636364,18.5507246376812,0.385512551068825,0.630952642566729,0,0.832503523550127,0.0869565217391304,3.22208567066922,12.4751331194931,zero,30,0,30,3,0.434782608695652,0.0103057356473733,0.0237163394194139,0,0.0297772133964919,NaN,0.266666666666667,-0.0922299643241321,0.0869565217391304,0.0176212198624697,0.0372344347814231,0.0372344347814231,NaN,0.1,400,57,514,514,300,214,193,29,100,29,4460,228,72,72,72,72,69,69,69,69,69,0,30
