problem,seed,arm,targetFE,productionFE,trainingFE,nativeCount,nativeUniqueObjectives,trainingPairs,trainingEndpointRMSE,meanNearestTrainingObjective,medianNearestTrainingObjective,requestedDirectionError,sideAccuracy,nativeFeasibleFraction
LIRCMOP5_BC,1,original,5400,5200,5200,500,200,12,0.0728988863544216,0.396707479998946,0.333324549774637,9.5715728583837,0.506,0.374
LIRCMOP5_BC,1,original,10000,9800,9800,500,200,43,0.0425880603944362,0.0881808761258555,0.0791368567383302,12.0965918556004,0.616,0.116
LIRCMOP5_BC,1,original,30000,29800,29800,500,200,69,0.0610959913357231,0.142071607237284,0.120460878636202,12.0593948656448,0.478,0.17
LIRCMOP5_BC,1,original,50000,49800,49000,500,200,9,0.0461313737417527,0.475163533819296,0.46511907869516,16.5882387638788,0.58,0.172
LIRCMOP5_BC,1,original,70000,69800,68000,500,200,10,0.0393654154335377,0.644386212958515,0.394280337023087,12.8366431639216,0.526,0.038
LIRCMOP5_BC,1,original,100000,99800,97800,500,200,9,0.0440965748318626,9.96452422910271,7.49300737936916,31.124336013174,0.49,0.67
LIRCMOP6_BC,1,original,5600,5400,5400,500,200,8,0.0808132462984666,0.915058649935449,0.549043875969605,16.0054657783835,0.534,0.558
LIRCMOP6_BC,1,original,10000,9800,9800,500,200,32,0.053644688341154,0.477339417033436,0.243236295786407,19.1100664853966,0.514,0.414
LIRCMOP6_BC,1,original,30000,29800,29800,500,200,32,0.0570113787412393,0.350983639227605,0.16312508577632,7.15352752619745,0.54,0.1
LIRCMOP6_BC,1,original,50000,49800,49800,500,200,8,0.0465918138326073,0.614315995350302,0.437892075888204,10.6869566603008,0.51,0.062
LIRCMOP6_BC,1,original,70000,69800,69800,500,200,15,0.046432163582623,1.00826414077434,0.585186373109707,23.6845130535963,0.49,0.022
LIRCMOP7_BC,1,original,4400,4200,4200,500,200,12,0.10718775494591,1.54089879375591,1.17890922436545,19.8896354148149,0.49,0.55
LIRCMOP7_BC,1,original,10000,9800,9800,500,200,11,0.0564998085648461,0.212888982914044,0.148305623185287,12.7803653714311,0.644,0.184
LIRCMOP7_BC,1,original,30000,29800,29800,500,200,64,0.0486349645516638,0.156841585572232,0.0616982003715055,11.7237918463976,0.504,0.092
